date,title,description,thumbnail,credits
2025-09-07,On building a Personal Site,A Confession and a Justification on building this site,https://upload.wikimedia.org/wikipedia/commons/b/b1/Caillebotte_-_Portrait_of_a_Man_Writing_in_His_Study%2C_1885.jpg,Caillebotte - Portrait of a Man Writing in His Study 1885 from WikiMedia Commons
2025-09-30,Looking at September and welcoming dear October,A retrospective,https://static0.dualshockersimages.com/wordpress/wp-content/uploads/2022/11/20221129_190005.jpg?q=50&fit=crop&w=825&dpr=1.5,The bellchime trail from Pokemon Heartgold and Soulsilver (My favourite location from the childhood)
2025-09-13,Why is ‘Mai na bhoolunga’ a vow of lovers?,A Song expanding the momentary meeting of the eyes of two lovers,https://suub.netlify.app/assets/mai_na_bhoolunga_hero.jpg,A stylized poster of Roti Kapdaa aur Makaan
2025-09-14,How beautiful your love (shall be)/(is)?,Yet another piece from a Russian Composer whom I deeply admire and adore,https://upload.wikimedia.org/wikipedia/commons/1/1f/Sophie_Gengembre_Anderson_Love_in_a_mist.jpg,Love in a Mist — Sophie Gengembre Anderson
2025-09-27,Bowie's Heroes and Sinatra's My Way,A Discussion on fatalistic optimism and passionate liberty,https://suub.netlify.app/assets/bowie-sinatra.png,
